,mode_id,success,stable,severity,f_angle,f_freq,f_voltage,angle_sep_deg,freq_dev_hz,voltage_dip,sim_time
70,70,True,False,0.8626200191405661,1.0,0.4534430463263952,0.9970370302358692,182.52793851346343,0.9068860926527904,0.9970370302358692,0.5563657283782959
71,71,True,False,0.5907301901310903,0.5063964285762957,0.3530833977251788,0.9970445056465908,91.15135714373324,0.7061667954503577,0.9970445056465908,1.106276512145996
72,72,True,False,0.8387085318339891,1.0,0.35781889359648034,0.997015233739476,182.85648720048846,0.7156377871929607,0.997015233739476,0.5217795372009277
73,73,True,False,0.7401578238176068,0.7159985577393269,0.5316176104636057,0.9970165693281674,128.87974039307883,1.0632352209272113,0.9970165693281674,1.0395057201385498
74,74,True,False,0.5068101569806654,0.371823786156032,0.28661305877811927,0.9969799968324783,66.92828150808576,0.5732261175562385,0.9969799968324783,1.1845533847808838
75,75,True,False,0.8577065448673549,1.0,0.43370660750609247,0.9971195719633272,182.67875243075005,0.8674132150121849,0.9971195719633272,0.28731250762939453
76,76,True,False,0.6922685470243098,0.6548073852043147,0.4624337632874571,0.9970256544011529,117.86532933677664,0.9248675265749142,0.9970256544011529,1.2528836727142334
77,77,True,False,0.9744413228214451,0.9503817162502999,1.0,0.9970018587851808,171.06870892505398,3.8752945632440685,0.9970018587851808,0.957512378692627
78,78,True,False,0.8606428083365765,1.0,0.4455604539025515,0.9970107794437542,181.7002432719434,0.891120907805103,0.9970107794437542,0.3080606460571289
79,79,True,False,0.9087179264046132,0.8481781479091512,0.9414790223587204,0.9970363874414301,152.67206662364723,1.8829580447174408,0.9970363874414301,1.413947582244873
80,80,True,False,0.46912196031994746,0.3182635329913596,0.24297447165727348,0.9969863036397971,57.28743593844473,0.48594894331454697,0.9969863036397971,0.912442684173584
81,81,True,False,0.7820809398127532,0.7600205792008411,0.6112773760955328,0.9970052247537979,136.8037042561514,1.2225547521910656,0.9970052247537979,1.1951038837432861
