mode_id,max_severity,worst_fault,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias,total_re_pct,angle_dominated_severity,angle_dominated_f_angle,angle_dominated_f_freq,angle_dominated_f_voltage,angle_dominated_success,angle_dominated_v2_severity,angle_dominated_v2_f_angle,angle_dominated_v2_f_freq,angle_dominated_v2_f_voltage,angle_dominated_v2_success,voltage_dominated_severity,voltage_dominated_f_angle,voltage_dominated_f_freq,voltage_dominated_f_voltage,voltage_dominated_success,voltage_dominated_v2_severity,voltage_dominated_v2_f_angle,voltage_dominated_v2_f_freq,voltage_dominated_v2_f_voltage,voltage_dominated_v2_success,freq_dominated_severity,freq_dominated_f_angle,freq_dominated_f_freq,freq_dominated_f_voltage,freq_dominated_success,freq_dominated_v2_severity,freq_dominated_v2_f_angle,freq_dominated_v2_f_freq,freq_dominated_v2_f_voltage,freq_dominated_v2_success,severe_combined_severity,severe_combined_f_angle,severe_combined_f_freq,severe_combined_f_voltage,severe_combined_success,tie_line_n3_fault_severity,tie_line_n3_fault_f_angle,tie_line_n3_fault_f_freq,tie_line_n3_fault_f_voltage,tie_line_n3_fault_success,tie_line_n2_fault_severity,tie_line_n2_fault_f_angle,tie_line_n2_fault_f_freq,tie_line_n2_fault_f_voltage,tie_line_n2_fault_success
72,0.9993450030851248,tie_line_n3_fault,0.1733425538907593,0.3405538148878211,0.1348730900244814,0.1431026978002459,1.0931794295498083,0.7966956993803329,-0.0346217920298607,0.3959360783016539,0.705823513437785,0.6686142950419212,0.4890469911039012,0.9970184725633964,True,0.5433831993851412,0.482449318967363,0.212092705699213,0.996541453906626,True,0.5373231816147146,0.4741457123171414,0.205315096333809,0.9956862054907664,True,0.5171381290509466,0.4434257772973419,0.1854346104061974,0.9962663512029049,True,0.7371968725923181,0.7002560964580808,0.5523666191157979,0.9959086783373132,True,0.5160199668023393,0.4434257772973419,0.1812425244384385,0.9959857881762348,True,0.8905304846087592,1.0,0.5646840043967813,0.9974379340382556,True,0.9993450030851248,1.0,1.0,0.997380012340499,True,0.8594325864526187,1.0,0.44042044976812633,0.9973098960423482,True
73,0.9993453183771082,tie_line_n3_fault,0.0632057149670857,0.2090249592804175,0.0501261115020962,0.1247463354934381,0.9765838448001468,0.8191696887398655,0.0356038334999407,0.2235515606215188,0.7089254342149891,0.6663313775097527,0.5059869786904123,0.9970520031500384,True,0.5281705341918003,0.4588087270819335,0.1985065399322962,0.996558142671038,True,0.5214274768483176,0.4499903543274588,0.1900201205849114,0.9957090781534412,True,0.4960662013644648,0.4206832495497907,0.1466152213755265,0.9962830849827512,True,0.7455223930317416,0.7033317999298392,0.5794685211287565,0.9959574511385316,True,0.4949710532358246,0.4206832495497907,0.1425186336470254,0.9959990801966916,True,0.8965629906003308,1.0,0.5887808778097359,0.9974710845915874,True,0.9993453183771082,1.0,1.0,0.9973812735084325,True,0.8605731404762826,1.0,0.4449647348777539,0.9973278270273769,True
74,0.999298951479806,tie_line_n3_fault,0.1177565578690543,0.1224675011248424,0.2040384503704589,0.0658215582381781,1.0852006870106508,0.8652115257091634,0.005087417255858,0.255042033801267,0.8795078951401203,1.0,0.5209530234955615,0.9970785570649195,True,0.5904015707195578,0.5651948024719411,0.2347225651565949,0.9964941127777538,True,0.5765301958410695,0.5498662397925494,0.2107842348262814,0.9956040689528975,True,0.5370793508974397,0.5152514075458162,0.1215759950890031,0.9962385934091236,True,0.8799508943529675,1.0,0.5240246369897221,0.9957789404221477,True,0.5342034848666998,0.5152514075458162,0.1103527930039049,0.9959583313712618,True,0.8884075369651678,1.0,0.5560659485866175,0.9975641992740536,True,0.999298951479806,1.0,1.0,0.9971958059192237,True,0.852460245588791,1.0,0.4125952347866466,0.9972457475685174,True
75,0.9992483924551003,tie_line_n3_fault,0.074533516697119,0.2677274701772247,0.0432563996348923,0.182976859905418,0.943031163049439,1.0174342829794665,-0.0317193125336908,0.2842471232073271,0.8418057637115924,1.0,0.3702463621767258,0.996976692669644,True,0.9506716897414104,1.0,0.8063697981853721,0.9963169607802692,True,0.8754880153563761,1.0,0.5065895425127778,0.9953625189127264,True,0.8512494262224406,1.0,0.4089075614503201,0.996090143439442,True,0.6167438624074766,0.6668193412251581,0.1378293909943089,0.9955073761852814,True,0.8356731707863809,1.0,0.3468746161721299,0.9958180669733936,True,0.8674817697579483,1.0,0.4724235212933116,0.9975035577384816,True,0.9992483924551003,1.0,1.0,0.9969935698204013,True,0.8204434362782977,1.0,0.2846809668462953,0.9970927782668955,True
76,0.9992570554080399,tie_line_n3_fault,0.2254832385486826,0.1821404934824665,0.1416808675114003,0.1753912588711017,0.7831285159393778,1.018886290033563,-0.0676017747558677,0.3623479292068255,0.8456754194126139,1.0,0.3856413641851581,0.9970603134652976,True,0.970910797978252,0.9436279020013036,1.0,0.9963873879104004,True,0.5867842423072536,0.6366524251268342,0.0783939848274677,0.995438134147878,True,0.8881874685519783,1.0,0.5566136737916345,0.9961362004162788,True,0.9153526157948102,1.0,0.6614104631792408,1.0,True,0.9001108241713768,1.0,0.6045851462852809,0.9958581504002264,True,0.8746410696866559,1.0,0.5009775906205114,0.9975866881261124,True,0.9992570554080399,1.0,1.0,0.9970282216321595,True,0.8322243049064267,1.0,0.331750749090439,0.9971464705352681,True
77,0.9993094826681621,tie_line_n3_fault,0.0600861581739113,0.1900431463244979,0.1208032578192493,0.170622794017117,1.0264088395261102,0.9293033369604606,0.0108371284994454,0.2707776781673878,0.8963794723586461,1.0,0.5884686812989735,0.9970492081356112,True,0.5744107845406997,0.5476099225408219,0.2059257493849209,0.996497543696234,True,0.5634298868877845,0.5323692441502201,0.1933634420068344,0.9956176172438634,True,0.5347502128144069,0.5048517482871893,0.1330609622344916,0.9962363924487576,True,0.8850734300255618,1.0,0.5444924685240657,0.9958012515781816,True,0.5328157691239908,0.5048517482871893,0.1256010143404964,0.995958565581088,True,0.8899039440902922,1.0,0.562091565562902,0.9975242107982666,True,0.9993094826681621,1.0,1.0,0.9972379306726482,True,0.8529482617313346,1.0,0.41453854024207004,0.9972545066832683,True
78,0.9991929270377726,tie_line_n2_fault,0.3206913448795649,0.0520542235364858,0.2823474807992474,0.0595044934433713,0.7643339618889555,1.0641213455641756,-0.1262947739495745,0.3572987713293348,0.9806882942435526,0.9629862427064754,1.0,0.9967806915612604,True,0.980444018785954,0.9629862427064754,1.0,0.995803589730866,True,0.8916555921951126,1.0,0.5666223687804504,1.0,True,0.9988854078524152,1.0,1.0,0.9955416314096608,True,0.8518323780366502,1.0,0.4073295121480242,0.9999999999985768,True,0.998825206998238,1.0,1.0,0.9953008279929518,True,0.9807340061752984,0.9629862427064754,1.0,0.9969635392882435,True,0.9991376113652632,1.0,1.0,0.9965504454610528,True,0.9991929270377726,1.0,1.0,0.9967717081510905,True
79,0.9992928459752373,tie_line_n3_fault,0.134980261929857,0.1081643856036471,0.0590983581464335,0.2770154313917492,0.9445264499753432,1.139570501300848,0.0729281778594971,0.2896292185358434,0.8825506252814134,1.0,0.5331040090219048,0.9970984921037488,True,0.6019927074354572,0.5770084083459915,0.2574682645268176,0.9964857485230282,True,0.5835836646680241,0.557598261517111,0.2235512715740313,0.9955868640638434,True,0.5401707341993108,0.5191167093838889,0.1262192270769233,0.996230290952542,True,0.8807341866006468,1.0,0.5271515245756149,0.9957852218269724,True,0.5407572737067606,0.5219015581198818,0.1232759068208046,0.9959500717664744,True,0.8902697170470778,1.0,0.563490112030351,0.99758875615796,True,0.9992928459752373,1.0,1.0,0.9971713839009493,True,0.8486280513093811,1.0,0.3972706588354349,0.9972415464020896,True
80,0.9994143985536705,tie_line_n3_fault,0.2064829419520962,0.0795940446313653,0.1074471017459355,0.2329030221112945,0.7137313045632967,0.718574865731384,-0.0185423644023022,0.3132135552203458,0.5011408087650833,0.2792385894165733,0.4491340904673251,0.9969519657598614,True,0.4654226650904393,0.2078761285892167,0.4492255679372192,0.9967128352461044,True,0.4641382942247244,0.2059855491954163,0.4486206368428362,0.9959614416652288,True,0.4605643698591407,0.1970357238300593,0.4517557773625498,0.9964302544138944,True,0.5148079006991995,0.3077172047506438,0.4475442392820099,0.9962529540135002,True,0.4600805001807608,0.1970357238300593,0.4501005558731137,0.9961499971898112,True,0.5587847491753846,0.3966166585410231,0.4447349733300925,0.9971707062893996,True,0.9994143985536705,1.0,1.0,0.9976575942146823,True,0.6574420620593197,0.5050741714380129,0.6222284660956667,0.997391439265586,True
81,0.9992956781584937,tie_line_n3_fault,0.103672988035969,0.3443863397315521,0.0861486653505977,0.2151254248601444,0.9559910167813952,0.958703724408568,0.0377515935961343,0.3746667089891317,0.8759339784565079,1.0,0.5067347936233766,0.9970011202026552,True,0.6010555177073922,0.5839453545684385,0.2398964430856551,0.9964349186070364,True,0.5883532346080129,0.5697962184245423,0.2182874157211856,0.9955330858617816,True,0.5705627961696171,0.5627589903534077,0.1605492383788203,0.9961839655928326,True,0.8714035540704977,1.0,0.4898951734787751,0.995719042803216,True,0.5687380351076492,0.5627589903534077,0.1535231588398069,0.9959110008839742,True,0.8826155475430368,1.0,0.532962995218309,0.997499194953838,True,0.9992956781584937,1.0,1.0,0.997182712633975,True,0.844506966380246,1.0,0.38082364000981883,0.9972042255111653,True
82,0.9994028540960125,tie_line_n3_fault,0.1623402713312665,0.1891183279161974,0.1480599809891924,0.1601120111713944,0.7513339619300085,0.7067235077180684,0.1135093920844881,0.3298152957040254,0.532536328293129,0.3864102561405385,0.3603160884291654,0.9970087124622738,True,0.4843837287015561,0.2915506088024672,0.3577730582568108,0.9966606389444792,True,0.4825322256019637,0.2885339302912157,0.3571870529754299,0.9958739888499936,True,0.4744728979856289,0.2705137444085891,0.360492060834332,0.9963720422910054,True,0.5481754739041862,0.4186565846110484,0.3591274734227774,0.9962612529718704,True,0.4738617511106013,0.2705137444085891,0.3583345767141814,0.9960849389110454,True,0.6634802622799973,0.5719271612730457,0.5127614565678833,0.9973052700060148,True,0.9994028540960125,1.0,1.0,0.9976114163840497,True,0.8739438126437522,1.0,0.49836761839430466,0.9974076321807042,True
83,0.9992773087258134,tie_line_n3_fault,0.2779603391117566,0.0406179093152305,0.1855654369153023,0.1688682451671079,1.0073115042206973,1.0375716254262315,-0.1154820307595863,0.3365059652546987,0.8667679645211558,1.0,0.4699830919826553,0.9970887661019678,True,0.6952684918877783,0.6961694413732213,0.3922770472766785,0.9964580375279916,True,0.6315154150379273,0.6333124705167892,0.2638915926325822,0.9955451264855484,True,0.616093568804039,0.6089257948370653,0.250305063431135,0.9962176221108904,True,0.9277954872204104,1.0,0.7111819488816415,1.0,True,0.6908377546675546,0.6875481614787413,0.3923165745296479,0.9959381211830878,True,0.8892632242054247,1.0,0.5594503373821169,0.997602559439582,True,0.9992773087258134,1.0,1.0,0.9971092349032536,True,0.8412026282378147,1.0,0.3676073560274489,0.9972031569238097,True
84,0.9993861837615536,tie_line_n3_fault,0.2107290593001264,0.2837818974963865,0.23744558344796,0.2717922827466484,1.03412022309081,0.8529549181318582,0.1258810466892597,0.5018744114955607,0.55036998467314,0.4431176839457897,0.3182112063892433,0.9970333644117372,True,0.4633694618270519,0.3281801564917471,0.2005010410049159,0.9966164933197976,True,0.4607806503758388,0.3239166708504208,0.19948945525244,0.9957998045500736,True,0.4523959197892373,0.3058821856181901,0.2014933432000916,0.9963259647204774,True,0.572645997507708,0.4724086807365869,0.349587989144215,0.9961786394134432,True,0.4511574729087321,0.3058821856181901,0.1968258658459625,0.9960396545525858,True,0.7746578902175172,0.7025784787541713,0.6960916317123207,0.9973829716494051,True,0.9993861837615536,1.0,1.0,0.9975447350462144,True,0.8676423239509691,1.0,0.4731761055132786,0.9973931902905978,True
85,0.9722683617751317,tie_line_n3_fault,0.0001108687898277,0.0569046226780235,0.2543918707880854,0.1715349858680107,1.074399323132132,0.9347021708629808,0.0578127610553846,0.2414711740619737,0.728345737623999,0.6836333381536813,0.5490466776716616,0.9970695965169716,True,0.5169854913288011,0.4470272264213629,0.1773203080323924,0.996567204440086,True,0.5089659597920011,0.4365508553917154,0.1670327796488777,0.995729348735696,True,0.4764385949498521,0.4032895202888966,0.1028590474507709,0.9963162917708442,True,0.7744616429934192,0.7284712440693644,0.6449480524408422,0.995956031394106,True,0.4815066183440673,0.4014593950892662,0.1270670410964385,0.9960406421012984,True,0.9044296332005156,1.0,0.6202339206621872,0.9974846121398756,True,0.9722683617751317,1.0,0.8917126577387506,0.997360789361776,True,0.8631119837315562,1.0,0.45512084302393774,0.9973270919022872,True
86,0.9993698659720461,tie_line_n3_fault,0.3800151948019739,0.3215755895083949,0.2302583853672685,0.090531240702986,0.8752706843168104,0.7166190012125896,0.1306586129326183,0.5111902051903117,0.594595035744325,0.4991759227460365,0.3829786555767285,0.9970496419084988,True,0.4865680944237043,0.3698900293604268,0.2099071404756785,0.9965851784982852,True,0.4826670657145163,0.3641335579653165,0.2066527027742601,0.995748444153172,True,0.4684960132056898,0.3408085178389995,0.1960684378496182,0.996298579295142,True,0.6180916349795093,0.524879773204715,0.4265043191910891,0.996102674317518,True,0.4676014562729355,0.3408085178389995,0.1927741626115207,0.9960146268022224,True,0.9236927111189254,1.0,0.697330407168117,0.9974404373075846,True,0.9993698659720461,1.0,1.0,0.9974794638881844,True,0.8706330297759446,1.0,0.48515946592523207,0.9973726531785465,True
87,0.9993204192760168,tie_line_n3_fault,0.1447223172779513,0.0078279599237572,0.2348476732898424,0.2693677171869698,1.0669106089126446,1.1066172213247674,-0.149319156494608,0.3283828338392603,0.8793004087102496,0.8523960376018501,0.8153807636404018,0.9970287959968964,True,0.5419768797325496,0.5033451930526969,0.164682670330901,0.9965344624939038,True,0.5314588265188309,0.4895903532331808,0.1509663322097552,0.9956882673992068,True,0.5043394482187202,0.4597274814488828,0.1015996614444425,0.9963031685326724,True,0.9188042312967766,1.0,0.6794288710945757,0.9957880540925308,True,0.5111441503110309,0.4623119530350163,0.1239229093773133,0.9960297857967774,True,0.8922048643850786,1.0,0.5713476705155465,0.997471787024768,True,0.9993204192760168,1.0,1.0,0.997281677104067,True,0.8563167318167951,1.0,0.42799929446794494,0.9972676327992356,True
88,0.9938163556849045,tie_line_n3_fault,0.0323650931621547,0.0687185340931267,0.0963400486988707,0.297400304643284,0.7682908240408615,1.0240749083580631,0.048657286357245,0.2474119902987181,0.5915099468072913,0.5040795014765114,0.3608298776070064,0.9970509066691362,True,0.4687213116054326,0.3526012074626722,0.1730674364187088,0.9966153950776772,True,0.4642507744451167,0.3458456827248557,0.1695048117534874,0.9958069205772684,True,0.4386923066701913,0.3222904594945887,0.1138322431699414,0.9963560645216464,True,0.6126482697757182,0.5263062515915523,0.4019120798684668,0.9960684960513012,True,0.4464052343684141,0.3222904594945887,0.1449591531572807,0.9960808653271988,True,0.9439859421329694,0.8892679137888071,1.0,0.9974079409542632,True,0.9938163556849045,1.0,0.9777899398970611,0.9974754828425568,True,0.8665383035590392,1.0,0.4687806517962336,0.9973725624399231,True
